Technique name,Set,Fold number,Accuracy,Precision,Recall,F1 score
DNN,Train,1,0.98438,0.9844409635852036,0.9843261428663361,0.9843432214333341
DNN,Test,1,0.974,0.9739710858129168,0.973884046713845,0.9738699827334001
CNN,Train,1,0.98676,0.986685705785862,0.9866982300052772,0.98668303767112
CNN,Test,1,0.9841,0.9840411098003541,0.9839667959550444,0.9839828995386805
DNN,Train,2,0.98414,0.9840654048466366,0.9841327518405274,0.9840613117734257
DNN,Test,2,0.9749,0.9748630255968518,0.9747553548077127,0.9747262925285964
CNN,Train,2,0.9888,0.988732684999904,0.9887974135982305,0.9887545182086053
CNN,Test,2,0.9862,0.9860821635415459,0.9861358416006724,0.9860816674810176
DNN,Train,3,0.98416,0.9841642576896815,0.9840348337333319,0.9840602058693102
DNN,Test,3,0.9741,0.9741200406684716,0.9738985851108103,0.9739376688478865
CNN,Train,3,0.9836,0.9836267407150473,0.9835219707718682,0.9835382702174542
CNN,Test,3,0.9802,0.9803405218197161,0.9801201518572501,0.9801451820804837
DNN,Train,4,0.98338,0.983580372867984,0.9831291819449879,0.9833053475591103
DNN,Test,4,0.9748,0.9749670748085016,0.9744376284277203,0.9746106798530482
CNN,Train,4,0.98598,0.9858925448925978,0.9858749118110504,0.9858719810704601
CNN,Test,4,0.9835,0.9834674758275389,0.9833463459074441,0.9833881244891727
DNN,Train,5,0.98558,0.9854626029270364,0.9855241731105305,0.985475619277063
DNN,Test,5,0.973,0.9727975381832037,0.9728126622328919,0.9727849153039339
CNN,Train,5,0.98556,0.985568294290009,0.9855006436663792,0.9854871204310868
CNN,Test,5,0.9841,0.9842474589751042,0.9839251368349542,0.9840196285784071
DNN,Train,6,0.98404,0.9841239706379717,0.983891028622288,0.9839924965238662
DNN,Test,6,0.9712,0.9712849361858389,0.9708801166576009,0.9710048312921199
CNN,Train,6,0.98462,0.9847350271141704,0.9843924782858542,0.9845228070697839
CNN,Test,6,0.9828,0.9829053161738031,0.9825730797228991,0.9827110309472449
